,chinese,english
3720,我知道要說什麼。,I know what to say.
3721,我有一個忙碌的生活。,I lead a busy life.
3722,我很喜歡燭光。,I like candlelight.
3723,我喜歡數學。,I like mathematics.
3724,我喜歡數學。,I like mathematics.
3725,我喜歡短詩。,I like short poems.
3726,我喜歡那個人。,I like that person.
3727,我喜歡吃肉。,I like to eat meat.
3728,我喜歡你的建議。,I like your advice.
3729,我喜歡你的咖啡。,I like your coffee.
3730,我喜歡你的家庭。,I like your family.
3731,我看了看周圍。,I looked around me.
3732,我丟了我的傘。,I lost my umbrella.
3733,我愛韓國料理。,I love Korean food.
3734,我愛蘋果汁。,I love apple juice.
3735,我愛好翻譯。,I love translating.
3736,我另有計劃。,I made other plans.
3737,我遇見了一位老婦人。,I met an old woman.
3738,我那麼想念她。,I miss her so much.
3739,我想念我的孩子。,I miss my children.
3740,我如此想念你。,I miss you so much.
3741,好想見到你,I miss you so much.
3742,我錯過了我的機會。,I missed my chance.
3743,我需要更多黃油。,I need more butter.
3744,我需要你的意見。,I need your advice.
3745,我從不喝啤酒。,I never drink beer.
3746,我從不喝啤酒。,I never touch beer.
3747,我打算去那裡。,I plan to go there.
3748,我看見他逃跑了。,I saw him run away.
3749,我見識到了湯姆的作為。,I saw what Tom did.
3750,我看到湯姆做什麼了。,I saw what Tom did.
3751,我摑了他的臉。,I slapped his face.
3752,我在公交車上睡覺了。,I slept on the bus.
3753,我依然不關心。,I still don't care.
3754,我每週遊一次泳。,I swim once a week.
3755,我想我愛你。,I think I love you.
3756,我想他會來的吧。,I think he'll come.
3757,我想他很快樂。,I think he's happy.
3758,我努力忍住哭。,I tried not to cry.
3759,我八點起床。,I wake up at eight.
3760,我走路到學校。,I walked to school.
3761,我想讓湯姆等著。,I want Tom to wait.
3762,我要這臺相機。,I want this camera.
3763,我想去那裡。,I want to go there.
3764,我想見湯姆。,I want to meet Tom.
3765,我要紅色的鞋子。,I wanted red shoes.
3766,那個時候，我在家。,I was at home then.
3767,我生於1988年。,I was born in 1988.
3768,我一直在期待著！,I was expecting it!
3769,我也緊張。,"I was nervous, too."
3770,我很餓。,I was quite hungry.
3771,我非常小心了。,I was very careful.
3772,我很放鬆。,I was very relaxed.
3773,我一天到晚看電視。,I watch TV all day.
3774,我會繼續前進。,I will go on ahead.
3775,但願我有一輛車。,I wish I had a car.
3776,但願我很有錢。,I wish I were rich.
3777,祝你成功。,I wish you success.
3778,我回家比較好。,I'd better go home.
3779,我想請你們幫個忙。,I'd like your help.
3780,我會見到你。,I'll be seeing you.
3781,我會叫湯姆回來。,I'll call Tom back.
3782,我會給你回電話的。,I'll call you back.
3783,我會需要幫助。,I'll get some help.
3784,給我來一份一樣的。,I'll have the same.
3785,我就坐這兒。,I'll just sit here.
3786,我要一直做下去。,I'll keep doing it.
3787,我也會想你的。,"I'll miss you, too."
3788,我做不到。,I'll never make it.
3789,我要和湯姆一起騎車。,I'll ride with Tom.
3790,等會兒見。,I'll see you later.
3791,我會考慮一下。,I'll think it over.
3792,我有點累。,I'm a little tired.
3793,我怕狗。,I'm afraid of dogs.
3794,我總覺得渴。,I'm always thirsty.
3795,我是一名電工。,I'm an electrician.
3796,我跟你一樣高。,I'm as tall as you.
3797,我今晚會過去。我今晚會回去。,I'm coming tonight.
3798,我準備晚餐。,I'm cooking dinner.
3799,我跟她訂婚了。,I'm engaged to her.
3800,我是從新加坡來的。,I'm from Singapore.
3801,我很高興結束了。,I'm glad it's over.
3802,我進城去。,I'm going downtown.
3803,我正要去簽到。,I'm going to check.
3804,我擅長滑雪。,I'm good at skiing.
3805,我擅長足球。,I'm good at soccer.
3806,我擅長網球。,I'm good at tennis.
3807,我才剛開始。,I'm just beginning.
3808,我失去了控制。,I'm losing my grip.
3809,我在製作電影。,I'm making a movie.
3810,我不是獨裁者。,I'm not a dictator.
3811,我不是死板的。,I'm not inflexible.
3812,我不感興趣。,I'm not interested.
3813,我有點不舒服。,I'm not quite well.
3814,我在陽臺上。,I'm on the balcony.
3815,我準備好出發了。,I'm ready to leave.
3816,我怕狗。,I'm scared of dogs.
3817,對不起，我遲到了。,I'm sorry I'm late.
3818,對不起，我來晚了。,I'm sorry I'm late.
3819,我非常抱歉。,I'm terribly sorry.
3820,我太忙了不能去。,I'm too busy to go.
3821,我增加了體重。,I've gained weight.
3822,我現在得走了。,I've got to go now.
3823,我已經變得好多了。,I've gotten better.
3824,我把我的表丟了。,I've lost my watch.
3825,我以前從沒見過她。,I've never met her.
3826,我從來沒有見過他。,I've never met him.
3827,無知就是幸福。,Ignorance is bliss.
3828,所有人都準備好了嗎？,Is everybody ready?
3829,這麼大的夠用嗎？,Is it large enough?
3830,她是你媽媽嗎?,Is she your mother?
3831,有什麼不對嗎？,Is something wrong?
3832,不夠嗎？,Is that not enough?
3833,有沒有糖？,Is there any sugar?
3834,這是你的書嗎？,Is this book yours?
3835,這就是全部嗎？,Is this everything?
3836,這是你們的蘋果嗎？,Is this your apple?
3837,這沒有結果。,It came to nothing.
3838,游泳很簡單。,It is easy to swim.
3839,雨下得很大。,It is raining hard.
3840,它真的很便宜。,It is really cheap.
3841,這不實用。,It isn't practical.
3842,它變糟了。,It just gets worse.
3843,我這麼說只是開個玩笑。,It was just a joke.
3844,那不是我的錯。,It wasn't my fault.
3845,它不會太貴的。,It won't cost much.
3846,不會花很多時間的。,It won't take long.
3847,這個例子舉得不好。,It's a bad example.
3848,天快要下雨了。,It's about to rain.
3849,外面起霧了。,It's foggy outside.
3850,旅行是令人快樂的。,It's fun to travel.
3851,旅行是樂事。,It's fun to travel.
3852,天快要下雨了。,It's going to rain.
3853,它會好轉的。,It's gotten better.
3854,這個不重要。,It's not important.
3855,這不重要。,It's not important.
3856,這不實用。,It's not practical.
3857,十分簡單。,It's pretty simple.
3858,又下雨了！,It's raining again!
3859,今天下雪。,It's snowing today.
3860,是時候離開了。,It's time to leave.
3861,睡覺時間到了。,It's time to sleep.
3862,這太貴了。,It's too expensive.
3863,這是你的選擇。,It's your decision.
3864,就讓湯姆說吧。,Just let Tom speak.
3865,請給我水就好了。,"Just water, please."
3866,不要踩草地。,Keep off the grass.
3867,知識就是力量。,Knowledge is power.
3868,知識就是力量。,Knowledge is power.
3869,離我的車遠一點。,Leave my car alone.
3870,不要碰我的車。,Leave my car alone.
3871,葉子正在落下來。,Leaves are falling.
3872,第二課容易。,Lesson Two is easy.
3873,讓我來處理。,Let me handle this.
3874,讓我看看。,Let me have a look.
3875,現實點吧。,Let's be realistic.
3876,我們離婚吧。,Let's get divorced.
3877,我們在這裡下車吧。,Let's get off here.
3878,我們不要看電視吧。,Let's not watch TV.
3879,讓我們放輕鬆吧。,Let's take it easy.
3880,讓我們坐公共汽車去。,Let's take the bus.
3881,看看我的新車。,Look at my new car.
3882,看那個房子。,Look at that house.
3883,快看那個煙。,Look at that smoke.
3884,照鏡子。,Look in the mirror.
3885,看看發生了什麼。,Look what happened.
3886,愛不存在。,Love doesn't exist.
3887,火星有兩個衛星。,Mars has two moons.
3888,我能打開盒子嗎?,May I open the box?
3889,我可以用支票付嗎？,May I pay by check?
3890,我可以跟你一起跑嗎？,May I run with you?
3891,可能是湯姆做的。,Maybe Tom did that.
3892,你可能是對的。,Maybe you're right.
3893,也許您有道理。,Maybe you're right.
3894,我的車不是棕的。,My car isn't brown.
3895,我父親變老了。,My father grew old.
3896,我的一位朋友被槍殺。,My friend was shot.
3897,我的手燒傷了。,My hand was burned.
3898,我的腿還是很痛。,My legs still hurt.
3899,我的房間面向東邊。,My room faces east.
3900,我吃飽了。,My stomach is full.
3901,我的胃是脹滿的。,My stomach is full.
3902,我妻子在家。,My wife is at home.
3903,誰也不能幫我。,No one can help me.
3904,沒有人能幫我。,No one can help me.
3905,沒有人會看到我們。,No one will see us.
3906,沒有人能幫我。,Nobody can help me.
3907,沒人能阻止我！,Nobody can stop me!
3908,沒有人受傷。,Nobody was injured.
3909,誰也沒在看她。,Nobody watches her.
3910,什麼也沒少。,Nothing is missing.
3911,現在它是官方的了。,Now it is official.
3912,現在等一下。,"Now, wait a second."
3913,要聽老師的話。,Obey your teachers.
3914,哦！那太糟糕了。,Oh! That's too bad.
3915,紙容易著火。,Paper burns easily.
3916,人家叫我湯姆。,People call me Tom.
3917,請不要開槍！,Please don't shoot.
3918,請穿衣服。,Please get dressed.
3919,請坐一下。,Please have a seat.
3920,請讓我們知道。,Please let us know.
3921,請唱一首歌。,Please sing a song.
3922,請跟湯姆談話。,Please talk to Tom.
3923,把書放在那裡。,Put the book there.
3924,放下你的槍。,Put your guns down.
3925,土星是一顆行星。,Saturn is a planet.
3926,她差點就溺水了。,She almost drowned.
3927,她沒有敵人。,She has no enemies.
3928,她是我女兒。,She is my daughter.
3929,她是個內八字。,She is pigeon-toed.
3930,她很聰明。,She is very clever.
3931,她很可愛。,She is very pretty.
3932,她愛孩子。,She loves children.
3933,她為我做了一個蛋糕。,She made me a cake.
3934,她讓我幸福。,She makes me happy.
3935,她需要我們的幫忙。,She needs our help.
3936,她戴上了她的帽子。,She put on her hat.
3937,她坐在我旁邊。,She sat next to me.
3938,她特別想去。,She so wants to go.
3939,她講中文。,She speaks Chinese.
3940,她在趕時間。,She was in a hurry.
3941,她正在泡茶。,She was making tea.
3942,她很快就來了。,She will come soon.
3943,她贏得一切了。,She won everything.
3944,她是Tom的姐妹。,She's Tom's sister.
3945,她是Tom的姐姐。,She's Tom's sister.
3946,她只是個孩子。,She's just a child.
3947,她是我的同學。,She's my classmate.
3948,她只是個孩子。,She's only a child.
3949,給我個例子。,Show me an example.
3950,有人在吃東西。,Somebody is eating.
3951,這裡有人,Somebody's in here.
3952,留在這和湯姆在一起。,Stay here with Tom.
3953,不要走在草地上。,Stay off the grass.
3954,從草地裡出來。,Stay off the grass.
3955,不要隨便開玩笑。,Stop joking around.
3956,別開玩笑了。,Stop joking around.
3957,把你們的帽子摘下來。,Take off your hats.
3958,把你們的帽子摘下來。,Take your hats off.
3959,告訴湯姆我很抱歉。,Tell Tom I'm sorry.
3960,告訴我該做什麼。,Tell me what to do.
3961,那個房子是我們的,That house is ours.
3962,那真有趣。,That is intriguing.
3963,那是我們的學校。,That is our school.
3964,這不是我的妻子。,That isn't my wife.
3965,這份工作工資很高。,That job paid well.
3966,這部分是容易的,That part was easy.
3967,那條河流很長。,That river is long.
3968,那是好幾年前。,That was years ago.
3969,看起來像天書。,That's Greek to me.
3970,真是個好主意！,That's a good idea!
3971,那是一個好主意。,That's a good idea.
3972,那是一個很好的計劃。,That's a good plan.
3973,那是一件不錯的大衣。,That's a nice coat.
3974,那真令人鼓舞。,That's encouraging.
3975,它是給容易上當受騙的人的。,That's for suckers.
3976,那沒什麼大不了的。,That's no big deal.
3977,這不是我的妻子。,That's not my wife.
3978,真好。,That's really nice.
3979,我希望如此。,That's what I hope.
3980,我就喜歡它。,That's what I like.
3981,那就是我想要的。,That's what I want.
3982,這地區很安靜。,The area was quiet.
3983,汽車發生故障了。,The car broke down.
3984,那輛車撞到牆了。,The car hit a wall.
3985,結案了。,The case is closed.
3986,機會錯過了。,The chance is gone.
3987,咖啡是冷的。,The coffee is cold.
3988,這隻烏鴉飛走了。,The crow flew away.
3989,覆水難收。,The damage is done.
3990,危險已過去。,The danger is over.
3991,狗在叫。,The dog is barking.
3992,冰箱開著。,The fridge is open.
3993,這蓋子打不開。,The lid won't open.
3994,現在是綠燈。,The light is green.
3995,燈已關了。,The lights are out.
3996,鎖壞了。,The lock is broken.
3997,夜晚很冷。,The night was cold.
3998,老狗叫了。,The old dog barked.
3999,那隻鸚鵡死了。,The parrot is dead.
4000,飛機準備好了。,The plane is ready.
4001,飛機起飛了。,The plane took off.
4002,問題是湯姆。,The problem is Tom.
4003,夏天過去了。,The summer is over.
4004,小偷跑了。,The thief ran away.
4005,輪胎漏氣了。,The tire leaks air.
4006,我們的車走了。,There goes our bus.
4007,你又來了。,There you go again.
4008,沒有錯誤。,There's no mistake.
4009,這些是我的書。,These are my books.
4010,這是我們的孩子。,These are our kids.
4011,這些狗很大。,These dogs are big.
4012,這一定是假的。,These must be fake.
4013,他們全都來了。,They all have come.
4014,他們滿意了。,They are satisfied.
4015,他們沒聽。,They didn't listen.
4016,他們沒付我錢。,They didn't pay me.
4017,他們沒看到我們。,They didn't see us.
4018,他們不喜歡我。,They don't like me.
4019,他們逼我出來。,They forced me out.
4020,他們過著和平的生活。,They live in peace.
4021,他們很眼熟。,They look familiar.
4022,他們永不言棄。,They never give up.
4023,他們服從了命令。,They obeyed orders.
4024,他們轉過身。,They turned around.
4025,他們那麼年輕。,They were so young.
4026,他們不會通過的!,They will not pass!
4027,他們不會傷害我們。,They won't hurt us.
4028,他們在一起工作。,They work together.
4029,這本書小。,This book is small.
4030,這本書是你的。,This book is yours.
4031,這本書很容易。,This book was easy.
4032,這個男孩是我兒子。,This boy is my son.
4033,這把椅子很醜。,This chair is ugly.
4034,這把椅子很難看。,This chair is ugly.
4035,這個錶是我的。,This clock is mine.
4036,這把叉子是髒的。,This fork is dirty.
4037,這個房子是我的。,This house is mine.
4038,這房子是我的。,This house is mine.
4039,這是瑪麗的狗。,This is Mary's dog.
4040,這是醫院。,This is a hospital.
4041,這是我所知道的。,This is all I know.
4042,這不可能。,This is impossible.
4043,這就是錯的。,This is just wrong.
4044,這是我的臥室。,This is my bedroom.
4045,這是我的自行車。,This is my bicycle.
4046,這是我的問題。,This is my problem.
4047,這是我的項目。,This is my project.
4048,這不是我的車。,This is not my car.
4049,這可真好。,This is quite good.
4050,這是令人吃驚的。,This is surprising.
4051,這樣好多了。,This is way better.
4052,這不是老虎。,This isn't a tiger.
4053,這不是給你的。,This isn't for you.
4054,這個故事是真的。,This story is true.
4055,那些是我的褲子。,Those are my pants.
4056,那些狗都很大。,Those dogs are big.
4057,今天很熱。,Today is very warm.
4058,湯姆放棄了希望。,Tom abandoned hope.
4059,湯姆拋棄了他們。,Tom abandoned them.
4060,湯姆要食物。,Tom asked for food.
4061,湯姆開始笑了。,Tom began laughing.
4062,湯姆開始說話。,Tom began to speak.
4063,湯姆安慰了瑪麗。,Tom comforted Mary.
4064,湯姆切到了手指。,Tom cut his finger.
4065,湯姆在戰鬥中死了。,Tom died in battle.
4066,湯姆在戰鬥中死了。,Tom died in combat.
4067,湯姆服從命令。,Tom follows orders.
4068,Tom將鳥放走。,Tom freed the bird.
4069,湯姆被宰了。,Tom got ripped off.
4070,湯姆被敲竹槓了。,Tom got ripped off.
4071,湯姆有輛舊車。,Tom has an old car.
4072,湯姆剛吃完飯。,Tom has just eaten.
4073,Tom沒有禮貌。,Tom has no manners.
4074,湯姆(Tom)留短髮,Tom has short hair.
4075,Tom有三隻貓。,Tom has three cats.
4076,湯姆是個好廚師。,Tom is a good cook.
4077,湯姆一直都忙。,Tom is always busy.
4078,湯姆總是遲到。,Tom is always late.
4079,湯姆也來。,"Tom is coming, too."
4080,湯姆也在哭。,"Tom is crying, too."
4081,湯姆要發瘋。,Tom is going crazy.
4082,湯姆醉了。,Tom is intoxicated.
4083,湯姆更活躍。,Tom is more active.
4084,湯姆相當挑剔。,Tom is quite fussy.
4085,湯姆現在是認真的。,Tom is serious now.
4086,湯姆還是不安。,Tom is still upset.
4087,Tom獨自在那。,Tom is there alone.
4088,湯姆不是種族主義者。,Tom isn't a racist.
4089,湯姆不是天使。,Tom isn't an angel.
4090,湯姆不是傻瓜。,Tom isn't an idiot.
4091,湯姆不是白痴。,Tom isn't an idiot.
4092,湯姆還沒做完。,Tom isn't done yet.
4093,湯姆知道你知道。,Tom knows you know.
4094,湯姆學習了法語。,Tom learned French.
4095,湯姆喜歡足球。,Tom likes football.
4096,湯姆喜歡游泳。,Tom likes swimming.
4097,湯姆愛他的妻子。,Tom loves his wife.
4098,湯姆拿我開心。,Tom made fun of me.
4099,湯姆需要一個朋友,Tom needs a friend.
4100,湯姆跑得快。,Tom runs very fast.
4101,湯姆說他會等。,Tom said he'd wait.
4102,湯姆在蛋上撒鹽。,Tom salted his egg.
4103,湯姆學習了法語。,Tom studied French.
4104,湯姆教法語。,Tom teaches French.
4105,湯姆獨自旅行。,Tom traveled alone.
4106,湯姆在外面等。,Tom waited outside.
4107,湯姆想報仇。,Tom wanted revenge.
4108,湯姆想離開。,Tom wants to leave.
4109,湯姆想說話。,Tom wants to speak.
4110,湯姆勝利了。,Tom was victorious.
4111,湯姆獲得了勝利。,Tom was victorious.
4112,湯姆沒受傷。,Tom wasn't injured.
4113,湯姆不渴。,Tom wasn't thirsty.
4114,湯姆揮手了。,Tom waved his hand.
4115,湯姆去了瑪麗家。,Tom went to Mary's.
4116,湯姆不會高興。,Tom won't be happy.
4117,湯姆的門開著。,Tom's door is open.
4118,明天是星期天。,Tomorrow is Sunday.
4119,關燈。,Turn off the light.
4120,就等一會兒。,Wait just a moment.
4121,她的故事是真的嗎？,Was her story true?
4122,他的故事是真的嗎？,Was his story true?
4123,這湯好喝嗎？,Was the soup tasty?
4124,我們收養了一個孩子。,We adopted a child.
4125,我們都睡著了。,We all fell asleep.
4126,我們就是問題所在。,We are the problem.
4127,我們不能在這裡談。,We can't talk here.
4128,我們沒有打斷。,We didn't break in.
4129,我們沒時間。,We don't have time.
4130,我們不喜歡下雨。,We don't like rain.
4131,我們不相信湯姆。,We don't trust Tom.
4132,我們有許多目標。,We have many goals.
4133,我們有三個孩子。,We have three kids.
4134,我們需要的只有水。,We just need water.
4135,我們讓他們保持安靜。,We kept them quiet.
4136,我們什麼都知道。,We know everything.
4137,我們知道我們的權利。,We know our rights.
4138,我們彼此相愛。,We love each other.
4139,我們愛我們的學校。,We love our school.
4140,我們需要幫助。,We need assistance.
4141,我們需要更多員工。,We need more staff.
4142,我們需要的只有水。,We only need water.
4143,我們在公園裡跑了步。,We ran in the park.
4144,我們分手吧。,We should break up.
4145,我們應該坐下。,We should sit down.
4146,我們學了英語。,We studied English.
4147,我們想回家。,We want to go home.
4148,我們想聽聽。,We want to hear it.
4149,我們沒怕。,We were not afraid.
4150,我們會禮貌的問。,We'll ask politely.
4151,我們快破產了。,We're almost broke.
4152,我們很保守。,We're conservative.
4153,我們在吃麵包。,We're eating bread.
4154,我們是好朋友。,We're good friends.
4155,我們在吃午餐。,We're having lunch.
4156,他和我同歲。,We're the same age.
4157,我們被耍了。,We've been tricked.
4158,我們已經原諒你了。,We've forgiven you.
4159,你當過兵嗎？,Were you a soldier?
4160,那麼多鋼筆！,What a lot of pens!
4161,多麼強的風啊！,What a strong wind!
4162,我真是個白痴！,What an idiot I am!
4163,你想要什麼？,What are you after?
4164,你想要什麼?,What are you after?
4165,你做什麼？,What are you doing?
4166,你在做什麼？,What are you doing?
4167,搞什麼啊？,What are you doing?
4168,你打算做什麼？,What are you up to?
4169,多麼糟糕的天氣啊！,What awful weather!
4170,多少錢？,What did that cost?
4171,老虎吃什麼東西？,What do tigers eat?
4172,這兒發生了什麼事？,What happened here?
4173,然後發生了什麼事？,What happened then?
4174,這是什麼做的？,What is it made of?
4175,那是什麼？,What is over there?
4176,剛剛發生了什麼？,What just happened?
4177,你將擁有什麼？,What will you have?
4178,你會做什麼？,What will you make?
4179,在吃什麼呢？,What're you eating?
4180,你在說什麼？,What're you saying?
4181,你在說什麼呢？,What're you saying?
4182,這個袋子裡是什麼？,What's in this bag?
4183,你怎麼了？,What's up with you?
4184,你有什麼建議呢？,What's your advice?
4185,什麼時候發生的？,When did it happen?
4186,什麼時候開始？,When does it begin?
4187,什麼時候開始？,When does it start?
4188,湯姆什麼時候被開除的?,When was Tom fired?
4189,湯姆什麼時候被解僱的?,When was Tom fired?
4190,什麼時候開始？,When will it begin?
4191,什麼時候開始？,When will it start?
4192,我的書在哪？,Where are my books?
4193,你是哪裡的人？,Where are you from?
4194,你從哪裡來？,Where are you from?
4195,你在哪讀書？,Where do you study?
4196,你在哪裡讀書？,Where do you study?
4197,他住在哪裡？,Where does he live?
4198,哪裡痛?,Where does it hurt?
4199,哪裡疼?,Where does it hurt?
4200,她家在哪兒？,Where is her house?
4201,旅館在哪裡？,Where is the hotel?
4202,伏特加在哪裡？,Where is the vodka?
4203,我們應該去哪裡？,Where should we go?
4204,鞋子在哪兒？,Where're the shoes?
4205,你要去哪裡？,Where're you going?
4206,你們去哪裡？,Where're you going?
4207,錘子在哪裡？,Where's the hammer?
4208,哪頂帽子是你的？,Which cap is yours?
4209,哪個是你的杯子？,Which cup is yours?
4210,哪個杯子是你的？,Which cup is yours?
4211,哪頂帽子是你的？,Which hat is yours?
4212,哪本是你的書？,Which is your book?
4213,哪本是你們的書？,Which is your book?
4214,哪本是您的書？,Which is your book?
4215,哪本書是您的？,Which is your book?
4216,哪本書是你們的？,Which is your book?
4217,那些傢伙是誰？,Who are those guys?
4218,那人誰啊？,Who is that person?
4219,這個人是誰？,Who is this person?
4220,誰拿了錢？,Who took the money?
4221,誰碰了我的槍？,Who touched my gun?
4222,這輛自行車是誰的？,Whose bike is this?
4223,這是誰的書？,Whose book is this?
4224,這書是誰的？,Whose book is this?
4225,那是誰的環？,Whose ring is that?
4226,他們為什麼在生氣？,Why are they angry?
4227,你為什麼哭？,Why are you crying?
4228,你為什麼哭？,Why are you crying?
4229,你為什麼這麼生氣？,Why are you so mad?
4230,你為什麼不能來?,Why can't you come?
4231,我幹嘛在乎？,Why do I even care?
4232,你為什麼恨我？,Why do you hate me?
4233,你為什麼喜歡我？,Why do you love me?
4234,你為什麼需要它？,Why do you need it?
4235,湯姆為什麼興奮？,Why is Tom excited?
4236,為什麼我們應該要幫助？,Why should we help?
4237,你為什麼在那裡?,Why were you there?
4238,為什麼要擔心？,Why worry about it?
4239,我會留疤嗎？,Will I have a scar?
4240,用鉛筆寫。,Write it in pencil.
4241,您可以走了。,You are free to go.
4242,你可以走了。,You are free to go.
4243,您非常勇敢。,You are very brave.
4244,你非常勇敢。,You are very brave.
4245,你沒受到邀請。,You aren't invited.
4246,你壞了規矩。,You broke the rule.
4247,你不能這麼說。,You can't say that.
4248,你可以這麼說。,You could say that.
4249,這麼說也可以。,You could say that.
4250,你乾得很好。,You did a good job.
4251,你別嚇我們。,You don't scare us.
4252,你有客人。,You have a visitor.
4253,你有一雙很可愛的眼睛。,You have cute eyes.
4254,你的皮膚真好。,You have nice skin.
4255,你必須做選擇。,You have to choose.
4256,你必須選。,You have to choose.
4257,你知道我是正確的。,You know I'm right.
4258,你喜歡大象。,You like elephants.
4259,你一面生活一面學習。,You live and learn.
4260,你看起來很吃驚。,You look surprised.
4261,你看上去很好。,You look very good.
4262,你看上去很好。,You look very nice.
4263,你看上去很蒼白。,You look very pale.
4264,你犯了個錯誤。,You made a mistake.
4265,你可能是對的。,You might be right.
4266,你可能會見到他。,You might meet him.
4267,你一定是開玩笑！,You must be joking!
4268,你一定是開玩笑！,You must be joking.
4269,你現在必須離開。,You must leave now.
4270,你該去理髮店了。,You need a haircut.
4271,你欠我一個人情。,You owe me a favor.
4272,你應該知道的。,You should know it.
4273,你處於危險之中。,You were in danger.
4274,你最好快點。,You'd better hurry.
4275,你會困惑。,You'll be confused.
4276,你會東山再起的。,You'll bounce back.
4277,你是個好廚師。,You're a good cook.
4278,你一直忙。,You're always busy.
4279,你總是遲到。,You're always late.
4280,你總是遲到。,You're always late.
4281,你是個樂觀主義者。,You're an optimist.
4282,您不特別。,You're not special.
4283,你是對的。,You're quite right.
4284,你還年輕。,You're still green.
4285,你還年輕。,You're still young.
4286,你仍然很年輕。,You're still young.
4287,你個小屁孩。,You're such a brat.
4288,你真是個傻子。,You're such a jerk.
4289,你臉紅了。,You're turning red.
4290,你太過分了。,You've overdone it.
4291,你有口臭。,Your breath smells.
4292,“相信我。”他說。,"""Trust me,"" he said."
4293,鯨魚是哺乳動物。,A whale is a mammal.
4294,我是一個好老師嗎？,Am I a good teacher?
4295,美洲很大。,America is very big.
4296,回答我的問題。,Answer my questions.
4297,回答問題。,Answer the question.
4298,那是新買的鞋子嗎？,Are those new shoes?
4299,你們在哭嗎？,Are you guys crying?
4300,你今天晚上有沒有要上班?,Are you off tonight?
4301,你在臉書上嗎？,Are you on Facebook?
4302,讓湯姆幫你。,Ask Tom to help you.
4303,祝你好運。,Best of luck to you.
4304,但是，我不要。,But I don't want to.
4305,但我沒有害怕。,But I wasn't afraid.
4306,可以給我一些茶水嗎？,Can I have some tea?
4307,我可以說些什麼嗎?,Can I say something?
4308,我還來得及嗎？,Can I still make it?
4309,您會開車嗎？,Can you drive a car?
4310,你真的會游泳嗎？,Can you really swim?
4311,幫我搓一下背好嗎？,Can you rub my back?
4312,我們接受支票。,Checks are accepted.
4313,聖誕節近了。,Christmas drew near.
4314,聖誕節快到了。,Christmas is coming.
4315,隨時再來。,Come again any time.
4316,我能試一下這個嗎？,Could I try this on?
4317,你能在這裡簽名嗎?,Could you sign here?
4318,摧毀這個寺廟。,Destroy this temple.
4319,你們打湯姆的小報告了嗎？,Did you tell on Tom?
4320,你喝咖啡嗎?,Do you drink coffee?
4321,你去教堂嗎？,Do you go to church?
4322,你有孩子嗎？,Do you have a child?
4323,你咳嗽嗎？,Do you have a cough?
4324,你發燒了嗎？,Do you have a fever?
4325,你有刀嗎？,Do you have a knife?
4326,你記日記嗎？,Do you keep a diary?
4327,你知道我的名字嗎？,Do you know my name?
4328,你喜歡英語嗎？,Do you like English?
4329,你喜歡橙子嗎？,Do you like oranges?
4330,你喜歡兔子嗎？,Do you like rabbits?
4331,你喜歡菠菜嗎？,Do you like spinach?
4332,你喜歡閱讀嗎？,Do you like to read?
4333,你認得它嗎？,Do you recognize it?
4334,你共住一個房間嗎？,Do you share a room?
4335,您共住一個房間嗎？,Do you share a room?
4336,你們共住一個房間嗎？,Do you share a room?
4337,你會講法語嗎？,Do you speak French?
4338,你想喝點什麼嗎？,Do you want a drink?
4339,你想知道嗎？,Do you want to know?
4340,你願意等嗎 ?,Do you want to wait?
4341,湯姆有工作嗎？,Does Tom have a job?
4342,不要掉了這個杯子。,Don't drop this cup.
4343,別讓湯姆走了。,Don't let Tom leave.
4344,別聽她的。,Don't listen to her.
4345,不要站在我身邊。,Don't stand near me.
4346,別胡說。,Don't talk nonsense.
4347,別那麼著急。,Don't worry so much.
4348,你不冷嗎？,Don't you feel cold?
4349,你不知道那件事嗎？,Don't you know that?
4350,乾柴燒得旺。,Dry wood burns well.
4351,度假愉快！,Enjoy your holidays.
4352,分秒必爭。,Every minute counts.
4353,每個人都認識她。,Everybody knows her.
4354,大家都是這樣想的。,Everybody thinks so.
4355,每個人都擔心。,Everybody's worried.
4356,每個人都很特別。,Everyone is special.
4357,那件事誰都知道。,Everyone knows that.
4358,每個人都在笑。,Everyone's laughing.
4359,一切就緒。,Everything is ready.
4360,一切看上去正常。,Everything seems OK.
4361,一切正常。,Everything's normal.
4362,不好意思，我迷路了。,"Excuse me, I'm lost."
4363,很少人這麼認為。,Few people think so.
4364,今天魚很便宜。,Fish is cheap today.
4365,自由是有代價的。,Freedom is not free.
4366,從那兒下來！,Get down from there.
4367,滾出我的房子。,Get out of my house.
4368,給我支香菸吧。,Give me a cigarette.
4369,Tom瘋了嗎？,Has Tom gone insane?
4370,他已經走了嗎？,Has he gone already?
4371,週末愉快。,Have a good weekend!
4372,週末愉快。,Have a good weekend.
4373,你曾經被開除過嗎?,Have you been fired?
4374,你聞嗎?,Have you smelled it?
4375,你沒注意到嗎？,Haven't you noticed?
4376,他背叛了我們的信賴。,He abused our trust.
4377,他接受了我的主意。,He accepted my idea.
4378,他成為了一個鋼琴家。,He became a pianist.
4379,他歌兒唱得不咋地。,He cannot sing well.
4380,他改變想法了。,He changed his mind.
4381,我的病給他治好了。,He cured my illness.
4382,他把我的病給醫好了。,He cured my illness.
4383,他做這個是為了錢。,He did it for money.
4384,他不知道。,He didn't know that.
